Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS
1995-96,NBA,Houston Rockets*,48,34,0.585,3rd of 7,1.63,,93.2,1.4,109.3,1.7,107.4,-0.2,Lost W. Conf. Semis,R. Tomjanovich (48-34),H. Olajuwon (9.7)
1994-95,NBA,Houston Rockets*,47,35,0.573,3rd of 6,2.32,,94.2,1.3,109.7,1.4,107.4,-0.9,Won Finals,R. Tomjanovich (47-35),H. Olajuwon (10.7)
1993-94,NBA,Houston Rockets*,58,24,0.707,1st of 6,4.19,,95,-0.1,105.9,-0.4,101.4,-4.9,Won Finals,R. Tomjanovich (58-24),H. Olajuwon (14.3)
1992-93,NBA,Houston Rockets*,55,27,0.671,1st of 6,3.57,,94.4,-2.4,109.6,1.6,105.2,-2.8,Lost W. Conf. Semis,R. Tomjanovich (55-27),H. Olajuwon (15.8)
1991-92,NBA,Houston Rockets,42,40,0.512,3rd of 6,-1.94,,95.1,-1.5,106.2,-2,108,-0.2,,"D. Chaney (26-26), R. Tomjanovich (16-14)",H. Olajuwon (9.8)
1990-91,NBA,Houston Rockets*,52,30,0.634,3rd of 7,3.27,,98.5,0.7,107.4,-0.5,103.9,-4,Lost W. Conf. 1st Rnd.,D. Chaney (52-30),O. Thorpe (10.4)
1989-90,NBA,Houston Rockets*,41,41,0.5,5th of 7,1.71,,101.2,2.9,104.8,-3.3,103.4,-4.7,Lost W. Conf. 1st Rnd.,D. Chaney (41-41),H. Olajuwon (11.2)
1988-89,NBA,Houston Rockets*,45,37,0.549,2nd of 6,0.22,,101.8,1.2,105.7,-2.1,104.8,-3,Lost W. Conf. 1st Rnd.,D. Chaney (45-37),H. Olajuwon (12.4)
1987-88,NBA,Houston Rockets*,46,36,0.561,4th of 6,0.82,,101.8,2.2,107.1,-0.9,105.7,-2.3,Lost W. Conf. 1st Rnd.,B. Fitch (46-36),H. Olajuwon (10.7)
1986-87,NBA,Houston Rockets*,42,40,0.512,3rd of 6,0.6,,99.9,-0.9,106.5,-1.8,105.5,-2.8,Lost W. Conf. Semis,B. Fitch (42-40),H. Olajuwon (10.9)
1985-86,NBA,Houston Rockets*,51,31,0.622,1st of 6,2.1,,103.5,1.4,110.1,2.9,107.6,0.4,Lost Finals,B. Fitch (51-31),H. Olajuwon (9.5)
1984-85,NBA,Houston Rockets*,48,34,0.585,2nd of 6,1.38,,102.2,0.1,107.9,0,106.3,-1.6,Lost W. Conf. 1st Rnd.,B. Fitch (48-34),H. Olajuwon (10.2)
1983-84,NBA,Houston Rockets,29,53,0.354,6th of 6,-3.12,,104.7,3.3,105.3,-2.3,108.2,0.6,,B. Fitch (29-53),R. Sampson (6.0)
1982-83,NBA,Houston Rockets,14,68,0.171,6th of 6,-11.12,,102.2,-0.9,97,-7.7,108.3,3.6,,D. Harris (14-68),A. Leavell (3.8)
1981-82,NBA,Houston Rockets*,46,36,0.561,3rd of 6,-0.39,,97.2,-3.7,108.3,1.4,108.3,1.4,Lost W. Conf. 1st Rnd.,D. Harris (46-36),M. Malone (15.4)
1980-81,NBA,Houston Rockets*,40,42,0.488,3rd of 6,-0.2,,100.5,-1.3,107,1.5,106.7,1.2,Lost Finals,D. Harris (40-42),M. Malone (13.7)
1979-80,NBA,Houston Rockets*,41,41,0.5,2nd of 6,0.27,,101.2,-1.9,108.1,2.8,108,2.7,Lost E. Conf. Semis,D. Harris (41-41),M. Malone (11.9)
1978-79,NBA,Houston Rockets*,47,35,0.573,2nd of 6,0.92,,103.8,-2,108.7,4.9,107.7,3.9,Lost E. Conf. 1st Rnd.,T. Nissalke (47-35),M. Malone (14.1)
1977-78,NBA,Houston Rockets,28,54,0.341,6th of 6,-3.83,,101.3,-5.4,102.2,1.3,106.1,5.2,,T. Nissalke (28-54),C. Murphy (7.4)
1976-77,NBA,Houston Rockets*,49,33,0.598,1st of 6,1.44,,101.3,-5.2,104.5,5,102.9,3.4,Lost E. Conf. Finals,T. Nissalke (49-33),R. Tomjanovich (10.4)
1975-76,NBA,Houston Rockets,40,42,0.488,3rd of 5,-0.71,,104.7,-0.8,101.1,2.8,101.8,3.5,,J. Egan (40-42),C. Murphy (8.8)
1974-75,NBA,Houston Rockets*,41,41,0.5,2nd of 5,0.84,,102.9,-1.6,100.4,2.7,99.4,1.7,Lost E. Conf. Semis,J. Egan (41-41),R. Tomjanovich (10.1)
1973-74,NBA,Houston Rockets,32,50,0.39,3rd of 4,-0.34,,106.1,-1.7,100.3,2.6,100.5,2.8,,J. Egan (32-50),R. Tomjanovich (12.8)
1972-73,NBA,Houston Rockets,33,49,0.402,3rd of 4,-1.81,,115.2,4.5,97.9,1.1,99.4,2.6,,"T. Winter (17-30), J. Egan (16-19)",R. Tomjanovich (6.9)
1971-72,NBA,Houston Rockets,34,48,0.415,4th of 5,-1.22,,114.7,2.7,95.4,-2.5,96.8,-1.1,,T. Winter (34-48),R. Tomjanovich (8.4)
1970-71,NBA,San Diego Rockets,40,42,0.488,3rd of 5,0.21,,118.5,3.4,95.2,-2,95.5,-1.7,,A. Hannum (40-42),S. Lantz (10.5)
1969-70,NBA,San Diego Rockets,27,55,0.329,7th of 7,-2.95,,125.1,8,94.4,-4.6,96.8,-2.2,,"J. McMahon (9-17), A. Hannum (18-38)",E. Hayes (8.5)
1968-69,NBA,San Diego Rockets*,37,45,0.451,4th of 7,-0.3,,123.8,6.9,92.7,-2.8,92.8,-2.7,Lost W. Div. Semis,J. McMahon (37-45),E. Hayes (9.6)
1967-68,NBA,San Diego Rockets,15,67,0.183,6th of 6,-7.94,,121.9,2.1,91.8,-5,98.8,2,,J. McMahon (15-67),D. Gambee (5.0)
